Target,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Tuition fees up to date,Scholarship holder,Age at enrollment,Application mode,Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Debtor,Displaced,Gender,Curricular units 2nd sem (evaluations)
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,20,17,0,0,0,1,1,0
2,6,0.7385708967549104,6,0.7752491395436738,0,0,19,15,6,6,0,1,1,6
0,0,-1.9548522619126447,0,-2.1734500378702823,0,0,19,1,6,6,0,1,1,0
2,5,0.4889365552198688,6,0.6548940710777983,1,0,20,17,6,6,0,1,0,10
2,6,0.6071844012101517,5,0.4242135231848697,1,0,45,39,6,6,0,0,0,6
2,5,0.3115647862344443,5,0.3239176327966399,1,0,50,39,5,5,1,0,1,17
2,8,0.8722566559717025,7,0.6278141806729762,1,1,18,1,8,7,0,1,0,8
0,0,-1.9548522619126447,0,-2.1734500378702823,0,0,22,18,5,5,0,1,1,5
2,6,0.8324183935725952,6,0.7489214683167635,1,1,21,1,6,6,0,0,0,7
0,2,0.7057242728687207,5,0.2276335780239392,0,0,18,1,6,6,1,1,0,14
2,5,0.8436800931907174,6,0.4242135231848697,1,0,18,1,6,6,0,1,0,7
2,7,0.6494157747781096,7,0.6097609204030945,1,1,18,1,8,8,0,1,0,8
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,19,1,6,6,0,1,0,0
2,5,0.2130249145758753,6,0.0531187287484192,1,1,21,53,6,6,0,1,0,8
2,5,0.4101046578930135,4,0.617283112182212,1,1,18,1,5,5,0,1,0,5
0,0,-1.9548522619126447,5,0.6067520436914478,1,0,20,1,6,6,0,1,0,7
1,2,0.2130249145758753,1,0.3540063999131088,1,0,18,18,6,6,0,1,0,14
2,8,0.91167260463513,7,0.6291305642343216,1,0,18,17,8,7,0,1,0,8
2,4,0.459374593722298,4,0.45931708482075,1,0,20,1,5,5,0,1,0,8
1,6,0.7057242728687207,6,0.2837992766413477,1,0,18,1,7,7,0,1,0,8
2,0,-1.9548522619126447,0,-2.1734500378702823,1,1,21,1,0,0,0,0,0,0
1,8,0.2967838054856591,7,0.2355318793920123,1,0,20,18,8,7,0,1,0,9
2,7,0.5790301521648463,7,0.5345390026119224,1,0,18,1,8,8,0,1,0,12
2,6,0.4664131559836245,6,0.6436107834091223,1,1,19,1,6,6,0,1,0,7
2,7,0.826787543763534,6,0.6271121094402589,1,0,19,1,8,7,0,0,0,9
1,4,0.2130249145758753,5,0.2697578519869956,1,1,18,1,6,6,1,1,0,12
2,6,0.6634928993007627,6,0.2223680437785571,1,0,21,17,6,6,0,1,0,9
1,4,0.6071844012101517,5,0.4944206464566303,1,0,18,1,5,5,0,1,0,7
2,5,0.475797905665393,5,0.3540063999131088,1,0,20,1,5,5,0,1,0,6
1,6,0.7484248839207677,6,0.5505863450740389,1,0,19,17,7,7,0,1,1,7
1,5,0.1285621674399588,5,0.3239176327966399,1,0,21,44,6,6,0,0,1,17
2,4,0.686016298537007,6,0.5295242080925111,1,0,20,51,6,6,0,1,1,9
1,2,0.7057242728687207,3,0.2135921533695871,0,0,18,1,5,5,0,0,1,8
2,6,0.8781690482712167,6,0.4944206464566303,1,0,19,18,6,6,0,1,0,8
2,5,0.6916471483460681,5,0.4382549478392218,1,0,34,1,5,5,0,0,1,9
0,1,0.0159451712587371,0,-2.1734500378702823,0,0,37,39,7,7,1,0,1,7
0,0,-1.9548522619126447,0,-2.1734500378702823,1,0,43,39,5,5,0,1,1,0
0,2,0.4101046578930135,1,-0.0672363397174564,1,0,55,43,5,5,0,0,0,8
2,5,0.3312727605661581,5,0.1433850300978261,1,0,39,39,5,5,0,1,0,5
0,3,0.4101046578930135,3,0.2837992766413477,0,0,20,44,6,6,1,0,0,11
0,0,-1.9548522619126447,4,0.5119724272745706,1,0,18,1,5,6,1,0,0,5
2,5,1.1590076824981386,5,0.9437462353959002,1,0,22,1,5,5,0,1,0,5
